drug_id,category_id
DB00027,C00068
DB00027,C00192
DB00027,C00193
DB00027,C00010
DB00027,C00194
DB00027,C00195
DB00027,C00012
DB00027,C00196
DB00028,C00001
DB00028,C00016
DB00028,C00197
DB00028,C00022
DB00028,C00026
DB00028,C00198
DB00028,C00199
DB00028,C00065
DB00028,C00028
DB00028,C00200
DB00028,C00066
DB00028,C00029
DB00028,C00201
DB00028,C00012
DB00028,C00202
DB00028,C00033
DB00029,C00117
DB00029,C00001
DB00029,C00002
DB00029,C00005
DB00029,C00022
DB00029,C00006
DB00029,C00118
DB00029,C00039
DB00029,C00040
DB00029,C00008
DB00029,C00119
DB00029,C00009
DB00029,C00043
DB00029,C00121
DB00029,C00122
DB00029,C00012
DB00029,C00124
DB00029,C00125
DB00030,C00203
DB00030,C00001
DB00030,C00204
DB00030,C00205
DB00030,C00206
DB00030,C00170
DB00030,C00207
DB00030,C00131
DB00030,C00132
DB00030,C00208
DB00030,C00209
DB00030,C00210
DB00030,C00211
DB00030,C00212
DB00030,C00213
DB00030,C00133
DB00030,C00010
DB00031,C00117
DB00031,C00001
DB00031,C00002
DB00031,C00047
DB00031,C00005
DB00031,C00022
DB00031,C00006
DB00031,C00118
DB00031,C00039
DB00031,C00040
DB00031,C00008
DB00031,C00119
DB00031,C00009
DB00031,C00043
DB00031,C00121
DB00031,C00122
DB00031,C00012
DB00031,C00124
DB00031,C00125
DB00031,C00126
DB00032,C00001
DB00032,C00058
DB00032,C00161
DB00032,C00077
DB00032,C00078
DB00032,C00214
DB00032,C00082
DB00032,C00149
DB00032,C00215
DB00032,C00131
DB00032,C00132
DB00032,C00133
DB00032,C00010
DB00032,C00177
DB00032,C00178
DB00032,C00093
DB00032,C00216
DB00033,C00001
DB00033,C00047
DB00033,C00101
DB00033,C00102
DB00033,C00103
DB00033,C00104
DB00033,C00067
DB00033,C00050
DB00033,C00217
DB00033,C00111
DB00033,C00218
DB00033,C00219
DB00033,C00113
DB00033,C00010
DB00033,C00012
DB00034,C00094
DB00034,C00096
DB00034,C00001
DB00034,C00097
DB00034,C00019
DB00034,C00021
DB00034,C00098
DB00034,C00047
DB00034,C00023
DB00034,C00101
DB00034,C00102
DB00034,C00103
DB00034,C00104
DB00034,C00067
DB00034,C00030
DB00034,C00050
DB00034,C00109
DB00034,C00110
DB00034,C00160
DB00034,C00111
DB00034,C00113
DB00034,C00010
DB00034,C00012
DB00035,C00220
DB00035,C00001
DB00035,C00221
DB00035,C00222
DB00035,C00006
DB00035,C00223
DB00035,C00075
DB00035,C00224
DB00035,C00009
DB00035,C00182
DB00035,C00131
DB00035,C00132
DB00035,C00225
DB00035,C00226
DB00035,C00227
DB00035,C00087
DB00035,C00088
DB00035,C00089
DB00035,C00133
DB00035,C00010
DB00035,C00228
DB00035,C00134
DB00035,C00177
DB00035,C00229
DB00035,C00230
DB00035,C00012
DB00035,C00136
DB00035,C00231
DB00035,C00232
DB00035,C00233
DB00036,C00001
DB00036,C00047
DB00036,C00005
DB00036,C00179
DB00036,C00022
DB00036,C00118
DB00036,C00039
DB00036,C00040
DB00036,C00234
DB00036,C00235
DB00036,C00182
DB00036,C00043
DB00036,C00236
DB00036,C00237
DB00036,C00121
DB00036,C00012
DB00036,C00124
DB00036,C00125
DB00038,C00094
DB00038,C00001
DB00038,C00021
DB00038,C00047
DB00038,C00104
DB00038,C00050
DB00038,C00051
DB00038,C00238
DB00038,C00010
DB00038,C00012
DB00039,C00001
DB00039,C00047
DB00039,C00239
DB00039,C00240
DB00039,C00241
DB00039,C00050
DB00039,C00242
DB00039,C00010
DB00039,C00012
DB00040,C00001
DB00040,C00243
DB00040,C00244
DB00040,C00245
DB00040,C00246
DB00040,C00247
DB00040,C00248
DB00040,C00249
DB00040,C00250
DB00040,C00251
DB00040,C00252
DB00040,C00131
DB00040,C00132
DB00040,C00253
DB00040,C00254
DB00040,C00213
DB00040,C00133
DB00040,C00010
DB00040,C00255
DB00040,C00187
DB00040,C00012
DB00040,C00136
DB00041,C00094
DB00041,C00001
DB00041,C00256
DB00041,C00097
DB00041,C00019
DB00041,C00021
DB00041,C00047
DB00041,C00023
DB00041,C00257
DB00041,C00258
DB00041,C00259
DB00041,C00260
DB00041,C00261
DB00041,C00103
DB00041,C00104
DB00041,C00075
DB00041,C00262
DB00041,C00067
DB00041,C00030
DB00041,C00263
DB00041,C00264
DB00041,C00050
DB00041,C00051
DB00041,C00265
DB00041,C00218
DB00041,C00113
DB00041,C00032
DB00041,C00010
DB00041,C00012
DB00042,C00266
DB00042,C00267
DB00042,C00001
DB00042,C00268
DB00042,C00269
DB00042,C00270
DB00042,C00046
DB00042,C00047
DB00042,C00271
DB00042,C00272
DB00042,C00273
DB00042,C00274
DB00042,C00161
DB00042,C00118
DB00042,C00039
DB00042,C00040
DB00042,C00275
DB00042,C00043
DB00042,C00276
DB00042,C00277
DB00042,C00278
DB00042,C00279
DB00042,C00280
DB00042,C00281
DB00042,C00282
DB00042,C00283
DB00042,C00284
DB00042,C00121
DB00042,C00012
DB00042,C00054
DB00042,C00285
DB00043,C00286
DB00043,C00001
DB00043,C00287
DB00043,C00288
DB00043,C00289
DB00043,C00016
DB00043,C00017
DB00043,C00018
DB00043,C00290
DB00043,C00047
DB00043,C00022
DB00043,C00291
DB00043,C00026
DB00043,C00292
DB00043,C00028
DB00043,C00029
DB00043,C00012
DB00043,C00293
DB00043,C00294
DB00043,C00033
DB00044,C00214
DB00044,C00082
DB00044,C00149
DB00044,C00216
DB00046,C00203
DB00046,C00001
DB00046,C00204
DB00046,C00205
DB00046,C00206
DB00046,C00170
DB00046,C00207
DB00046,C00131
DB00046,C00132
DB00046,C00208
DB00046,C00209
DB00046,C00295
DB00046,C00211
DB00046,C00212
DB00046,C00213
DB00046,C00133
DB00046,C00010
DB00047,C00203
DB00047,C00001
DB00047,C00296
DB00047,C00058
DB00047,C00204
DB00047,C00161
DB00047,C00205
DB00047,C00206
DB00047,C00170
DB00047,C00207
DB00047,C00131
DB00047,C00132
DB00047,C00208
DB00047,C00297
DB00047,C00209
DB00047,C00295
DB00047,C00298
DB00047,C00299
DB00047,C00213
DB00047,C00133
DB00047,C00010
DB00048,C00300
DB00048,C00301
DB00048,C00060
DB00048,C00118
DB00048,C00039
DB00048,C00040
DB00048,C00043
DB00048,C00277
DB00048,C00278
DB00048,C00302
DB00048,C00303
DB00048,C00281
DB00048,C00121
DB00048,C00304
DB00049,C00305
DB00049,C00239
DB00049,C00039
DB00049,C00040
DB00049,C00306
DB00049,C00281
DB00049,C00307
DB00049,C00053
DB00049,C00308
DB00049,C00309
DB00050,C00001
DB00050,C00310
DB00050,C00311
DB00050,C00077
DB00050,C00078
DB00050,C00312
DB00050,C00313
DB00050,C00314
DB00050,C00131
DB00050,C00132
DB00050,C00085
DB00050,C00087
DB00050,C00088
DB00050,C00089
DB00050,C00133
DB00050,C00010
DB00050,C00134
DB00050,C00091
DB00050,C00012
DB00050,C00093
DB00050,C00136
DB00051,C00055
DB00051,C00001
DB00051,C00056
DB00051,C00016
DB00051,C00017
DB00051,C00018
DB00051,C00021
DB00051,C00057
DB00051,C00058
DB00051,C00059
DB00051,C00022
DB00051,C00061
DB00051,C00026
DB00051,C00028
DB00051,C00029
DB00051,C00067
DB00051,C00315
DB00051,C00012
DB00051,C00033
DB00051,C00069
DB00051,C00070
DB00051,C00316
DB00052,C00072
DB00052,C00001
DB00052,C00128
DB00052,C00205
DB00052,C00206
DB00052,C00317
DB00052,C00318
DB00052,C00319
DB00052,C00170
DB00052,C00103
DB00052,C00320
DB00052,C00321
DB00052,C00131
DB00052,C00132
DB00052,C00322
DB00052,C00193
DB00052,C00133
DB00052,C00010
DB00052,C00228
DB00052,C00134
DB00052,C00177
DB00052,C00178
DB00052,C00323
DB00052,C00324
DB00052,C00135
DB00052,C00136
DB00053,C00203
DB00053,C00325
DB00053,C00039
DB00053,C00040
DB00053,C00326
DB00053,C00327
DB00053,C00328
DB00053,C00043
DB00053,C00329
DB00054,C00001
DB00054,C00016
DB00054,C00017
DB00054,C00018
DB00054,C00002
DB00054,C00330
DB00054,C00005
DB00054,C00022
DB00054,C00026
DB00054,C00331
DB00054,C00009
DB00054,C00332
DB00054,C00064
DB00054,C00028
DB00054,C00029
DB00054,C00150
DB00054,C00333
DB00054,C00010
DB00054,C00334
DB00054,C00012
DB00054,C00033
DB00055,C00001
DB00055,C00097
DB00055,C00002
DB00055,C00047
DB00055,C00005
DB00055,C00335
DB00055,C00022
DB00055,C00139
DB00055,C00336
DB00055,C00039
DB00055,C00040
DB00055,C00119
DB00055,C00142
DB00055,C00143
DB00055,C00187
DB00055,C00012
DB00055,C00337
DB00056,C00001
DB00056,C00016
DB00056,C00017
DB00056,C00018
DB00056,C00338
DB00056,C00019
DB00056,C00020
DB00056,C00021
DB00056,C00022
DB00056,C00339
DB00056,C00023
DB00056,C00139
DB00056,C00340
DB00056,C00341
DB00056,C00049
DB00056,C00026
DB00056,C00342
DB00056,C00108
DB00056,C00343
DB00056,C00028
DB00056,C00066
DB00056,C00029
DB00056,C00067
DB00056,C00030
DB00056,C00344
DB00056,C00031
DB00056,C00113
DB00056,C00032
DB00056,C00345
DB00056,C00012
DB00056,C00033
DB00056,C00346
DB00057,C00347
DB00057,C00348
DB00057,C00349
DB00057,C00001
DB00057,C00016
DB00057,C00022
DB00057,C00350
DB00057,C00026
DB00057,C00028
DB00057,C00029
DB00057,C00351
DB00057,C00352
DB00057,C00010
DB00057,C00353
DB00057,C00012
DB00057,C00033
DB00057,C00354
DB00058,C00355
DB00058,C00356
DB00058,C00001
DB00058,C00357
DB00058,C00005
DB00058,C00022
DB00058,C00139
DB00058,C00007
DB00058,C00039
DB00058,C00040
DB00058,C00026
DB00058,C00142
DB00058,C00143
DB00058,C00182
DB00058,C00358
DB00058,C00010
DB00058,C00011
DB00058,C00359
DB00058,C00360
DB00058,C00012
DB00058,C00013
DB00058,C00014
DB00058,C00033
DB00058,C00361
DB00059,C00095
DB00059,C00172
DB00059,C00019
DB00059,C00021
DB00059,C00173
DB00059,C00174
DB00059,C00100
DB00059,C00362
DB00059,C00039
DB00059,C00040
DB00059,C00106
DB00059,C00107
DB00059,C00043
DB00059,C00067
DB00059,C00112
DB00059,C00114
DB00059,C00115
DB00059,C00175
DB00060,C00094
DB00060,C00001
DB00060,C00097
DB00060,C00021
DB00060,C00098
DB00060,C00047
DB00060,C00101
DB00060,C00102
DB00060,C00103
DB00060,C00104
DB00060,C00066
DB00060,C00363
DB00060,C00050
DB00060,C00110
DB00060,C00364
DB00060,C00111
DB00060,C00010
DB00060,C00012
DB00060,C00365
DB00061,C00094
DB00061,C00366
DB00061,C00021
DB00061,C00367
DB00061,C00039
DB00061,C00040
DB00061,C00043
DB00061,C00368
DB00061,C00114
DB00061,C00369
DB00062,C00370
DB00062,C00001
DB00062,C00005
DB00062,C00371
DB00062,C00372
DB00062,C00022
DB00062,C00373
DB00062,C00374
DB00062,C00375
DB00062,C00376
DB00062,C00377
DB00062,C00378
DB00062,C00379
DB00062,C00380
DB00062,C00012
DB00062,C00381
DB00063,C00001
DB00063,C00330
DB00063,C00005
DB00063,C00382
DB00063,C00009
DB00063,C00010
DB00063,C00194
DB00063,C00334
DB00065,C00072
DB00065,C00055
DB00065,C00001
DB00065,C00056
DB00065,C00016
DB00065,C00017
DB00065,C00021
DB00065,C00057
DB00065,C00058
DB00065,C00059
DB00065,C00022
DB00065,C00161
DB00065,C00060
DB00065,C00061
DB00065,C00247
DB00065,C00026
DB00065,C00028
DB00065,C00029
DB00065,C00067
DB00065,C00012
DB00065,C00033
DB00065,C00069
DB00065,C00070
DB00065,C00316
DB00066,C00001
DB00066,C00383
DB00066,C00214
DB00066,C00082
DB00066,C00149
DB00066,C00215
DB00066,C00131
DB00066,C00132
DB00066,C00133
DB00066,C00010
DB00066,C00177
DB00066,C00178
DB00066,C00012
DB00066,C00216
DB00066,C00159
DB00067,C00001
DB00067,C00221
DB00067,C00222
DB00067,C00384
DB00067,C00006
DB00067,C00223
DB00067,C00385
DB00067,C00009
DB00067,C00182
DB00067,C00131
DB00067,C00132
DB00067,C00227
DB00067,C00087
DB00067,C00088
DB00067,C00089
DB00067,C00133
DB00067,C00010
DB00067,C00228
