drug_id,salt_id
DB00885,SAL0716
DB00888,SAL0717
DB00889,SAL0718
DB00892,SAL0719
DB00899,SAL0720
DB00901,SAL0721
DB00902,SAL0722
DB00903,SAL0723
DB00904,SAL0724
DB00904,SAL0725
DB00906,SAL0726
DB00907,SAL0727
DB00908,SAL0728
DB00908,SAL0729
DB00908,SAL0730
DB00908,SAL0731
DB00913,SAL0732
DB00913,SAL0733
DB00914,SAL0734
DB00915,SAL0735
DB00915,SAL0736
DB00916,SAL0737
DB00918,SAL0738
DB00919,SAL0739
DB00919,SAL0740
DB00919,SAL0741
DB00919,SAL0742
DB00919,SAL0743
DB00920,SAL0744
DB00921,SAL0745
DB00924,SAL0746
DB00925,SAL0747
DB00930,SAL0748
DB00931,SAL0749
DB00932,SAL0750
DB00933,SAL0751
DB00933,SAL0752
DB00934,SAL0753
DB00935,SAL0754
DB00936,SAL0755
DB00936,SAL0756
DB00936,SAL0757
DB00936,SAL0758
DB00937,SAL0759
DB00938,SAL0760
DB00939,SAL0761
DB00940,SAL0762
DB00941,SAL0763
DB00942,SAL0764
DB00944,SAL0765
DB00945,SAL0766
DB00948,SAL0767
DB00948,SAL0768
DB00950,SAL0769
DB00952,SAL0770
DB00953,SAL0771
DB00955,SAL0772
DB00956,SAL0773
DB00956,SAL0774
DB00956,SAL0775
DB00959,SAL0776
DB00961,SAL0777
DB00963,SAL0778
DB00964,SAL0779
DB00966,SAL0780
DB00968,SAL0781
DB00968,SAL0782
DB00969,SAL0783
DB00972,SAL0784
DB00978,SAL0785
DB00979,SAL0786
DB00981,SAL0787
DB00981,SAL0788
DB00983,SAL0789
DB00986,SAL0790
DB00986,SAL0791
DB00987,SAL0792
DB00988,SAL0793
DB00989,SAL0794
DB00991,SAL0795
DB00992,SAL0796
DB00993,SAL0797
DB00994,SAL0798
DB00994,SAL0799
DB00997,SAL0800
DB00997,SAL0801
DB00998,SAL0802
DB00998,SAL0803
DB01001,SAL0804
DB01002,SAL0805
DB01003,SAL0806
DB01004,SAL0807
DB01007,SAL0808
DB01009,SAL0809
DB01009,SAL0810
DB01010,SAL0811
DB01010,SAL0812
DB01012,SAL0813
DB01014,SAL0814
DB01017,SAL0815
DB01018,SAL0816
DB01019,SAL0817
DB01024,SAL0818
DB01029,SAL0819
DB01030,SAL0820
DB01033,SAL0821
DB01035,SAL0822
DB01036,SAL0823
DB01037,SAL0824
DB01038,SAL0825
DB01042,SAL0826
DB01043,SAL0827
DB01044,SAL0828
DB01044,SAL0829
DB01045,SAL0830
DB01048,SAL0831
DB01048,SAL0832
DB01048,SAL0833
DB01050,SAL0834
DB01050,SAL0835
DB01050,SAL0836
DB01050,SAL0837
DB01050,SAL0838
DB01051,SAL0839
DB01053,SAL0840
DB01053,SAL0841
DB01053,SAL0842
DB01053,SAL0843
DB01053,SAL0844
DB01053,SAL0845
DB01056,SAL0846
DB01057,SAL0847
DB01060,SAL0848
DB01060,SAL0849
DB01061,SAL0850
DB01062,SAL0851
DB01063,SAL0852
DB01064,SAL0853
DB01064,SAL0854
DB01066,SAL0855
DB01069,SAL0856
DB01069,SAL0857
DB01072,SAL0858
DB01073,SAL0859
DB01074,SAL0860
DB01075,SAL0861
DB01075,SAL0862
DB01075,SAL0863
DB01075,SAL0864
DB01076,SAL0865
DB01076,SAL0866
DB01077,SAL0867
DB01079,SAL0868
DB01081,SAL0869
DB01082,SAL0870
DB01084,SAL0871
DB01085,SAL0872
DB01085,SAL0873
DB01085,SAL0874
DB01086,SAL0875
DB01087,SAL0876
DB01088,SAL0877
DB01089,SAL0878
DB01090,SAL0879
DB01091,SAL0880
DB01095,SAL0881
DB01098,SAL0882
DB01098,SAL0883
DB01102,SAL0884
DB01103,SAL0885
DB01103,SAL0886
DB01104,SAL0887
DB01105,SAL0888
DB01106,SAL0889
DB01109,SAL0890
DB01109,SAL0891
DB01110,SAL0892
DB01111,SAL0893
DB01112,SAL0894
DB01112,SAL0895
DB01113,SAL0896
DB01113,SAL0897
DB01113,SAL0898
DB01114,SAL0899
DB01114,SAL0900
DB01114,SAL0901
DB01114,SAL0902
DB01116,SAL0903
DB01118,SAL0904
DB01119,SAL0905
DB01122,SAL0906
DB01123,SAL0907
DB01124,SAL0908
DB01127,SAL0909
DB01129,SAL0910
DB01131,SAL0911
DB01132,SAL0912
DB01133,SAL0913
DB01135,SAL0914
DB01136,SAL0915
DB01137,SAL0916
DB01139,SAL0917
DB01139,SAL0918
DB01140,SAL0919
DB01140,SAL0920
DB01140,SAL0921
DB01141,SAL0922
DB01142,SAL0923
DB01143,SAL0924
DB01145,SAL0925
DB01146,SAL0926
DB01147,SAL0927
DB01147,SAL0928
DB01147,SAL0929
DB01148,SAL0930
DB01149,SAL0931
DB01150,SAL0932
DB01151,SAL0933
DB01153,SAL0934
DB01154,SAL0935
DB01155,SAL0936
DB01156,SAL0937
DB01156,SAL0938
DB01157,SAL0939
DB01158,SAL0940
DB01161,SAL0941
DB01162,SAL0942
DB01162,SAL0943
DB01164,SAL0944
DB01164,SAL0945
DB01165,SAL0946
DB01168,SAL0947
DB01170,SAL0948
DB01170,SAL0949
DB01172,SAL0950
DB01173,SAL0951
DB01173,SAL0952
DB01174,SAL0953
DB01175,SAL0954
DB01176,SAL0955
DB01176,SAL0956
DB01177,SAL0957
DB01182,SAL0958
DB01183,SAL0959
DB01183,SAL0960
DB01184,SAL0961
DB01186,SAL0962
DB01188,SAL0963
DB01190,SAL0964
DB01190,SAL0965
DB01190,SAL0966
DB01192,SAL0967
DB01193,SAL0968
DB01195,SAL0969
DB01196,SAL0970
DB01196,SAL0971
DB01199,SAL0972
DB01200,SAL0973
DB01201,SAL0974
DB01204,SAL0975
DB01210,SAL0976
DB01211,SAL0977
DB01212,SAL0978
DB01213,SAL0979
DB01214,SAL0980
DB01218,SAL0981
DB01219,SAL0982
DB01221,SAL0983
DB01223,SAL0984
DB01224,SAL0985
DB01225,SAL0986
DB01226,SAL0987
DB01227,SAL0988
DB01228,SAL0989
DB01231,SAL0990
DB01232,SAL0991
DB01233,SAL0992
DB01233,SAL0993
DB01234,SAL0994
DB01234,SAL0995
DB01237,SAL0996
DB01239,SAL0997
DB01240,SAL0998
DB01242,SAL0999
DB01244,SAL1000
DB01244,SAL1001
DB01245,SAL1002
DB01246,SAL1003
DB01248,SAL1004
DB01250,SAL1005
DB01252,SAL1006
DB01253,SAL1007
DB01254,SAL1008
DB01254,SAL1009
DB01255,SAL1010
DB01259,SAL1011
DB01261,SAL1012
DB01261,SAL1013
DB01261,SAL1014
DB01261,SAL1015
DB01261,SAL1016
DB01264,SAL1017
DB01264,SAL1018
DB01264,SAL1019
DB01267,SAL1020
DB01268,SAL1021
DB01273,SAL1022
DB01274,SAL1023
DB01275,SAL1024
DB01278,SAL1025
DB01284,SAL1026
DB01288,SAL1027
DB01291,SAL1028
DB01291,SAL1029
DB01295,SAL1030
DB01296,SAL1031
DB01296,SAL1032
DB01296,SAL1033
DB01296,SAL1034
DB01297,SAL1035
DB01319,SAL1036
DB01319,SAL1037
DB01320,SAL1038
DB01326,SAL1039
DB01327,SAL1040
DB01328,SAL1041
DB01329,SAL1042
DB01330,SAL1043
DB01331,SAL1044
DB01332,SAL1045
DB01333,SAL1046
DB01336,SAL1047
DB01337,SAL1048
DB01338,SAL1049
DB01339,SAL1050
DB01340,SAL1051
DB01344,SAL1052
DB01344,SAL1053
DB01344,SAL1054
DB01347,SAL1055
DB01348,SAL1056
DB01351,SAL1057
DB01352,SAL1058
DB01355,SAL1059
DB01359,SAL1060
DB01364,SAL1061
DB01364,SAL1062
DB01364,SAL1063
DB01365,SAL1064
DB01366,SAL1065
DB01366,SAL1066
DB01367,SAL1067
DB01367,SAL1068
DB01369,SAL1069
DB01388,SAL1070
DB01392,SAL1071
DB01397,SAL1072
DB01400,SAL1073
DB01400,SAL1074
DB01403,SAL1075
DB01403,SAL1076
DB01405,SAL1077
DB01407,SAL1078
DB01408,SAL1079
DB01409,SAL1080
DB01409,SAL1081
DB01411,SAL1082
DB01413,SAL1083
DB01414,SAL1084
DB01415,SAL1085
DB01416,SAL1086
DB01416,SAL1087
DB01421,SAL1088
DB01423,SAL1089
DB01425,SAL1090
DB01427,SAL1091
DB01429,SAL1092
DB01430,SAL1093
DB01433,SAL1094
DB01438,SAL1095
DB01440,SAL1096
DB01440,SAL1097
DB01440,SAL1098
DB01452,SAL1099
DB01454,SAL1100
DB01463,SAL1101
DB01465,SAL1102
DB01466,SAL1103
DB01478,SAL1104
