drug_id,synonym_id
DB00056,SYN00392
DB00057,SYN00393
DB00057,SYN00394
DB00057,SYN00395
DB00058,SYN00396
DB00058,SYN00397
DB00058,SYN00398
DB00058,SYN00399
DB00058,SYN00400
DB00058,SYN00401
DB00058,SYN00402
DB00058,SYN00403
DB00058,SYN00404
DB00058,SYN00405
DB00058,SYN00406
DB00058,SYN00407
DB00058,SYN00408
DB00058,SYN00409
DB00058,SYN00410
DB00058,SYN00411
DB00058,SYN00412
DB00058,SYN00413
DB00058,SYN00414
DB00058,SYN00415
DB00058,SYN00416
DB00058,SYN00417
DB00058,SYN00418
DB00058,SYN00419
DB00058,SYN00420
DB00058,SYN00421
DB00058,SYN00422
DB00058,SYN00423
DB00058,SYN00424
DB00058,SYN00425
DB00058,SYN00426
DB00058,SYN00427
DB00059,SYN00428
DB00059,SYN00429
DB00059,SYN00430
DB00059,SYN00431
DB00059,SYN00432
DB00059,SYN00433
DB00059,SYN00434
DB00059,SYN00435
DB00059,SYN00436
DB00059,SYN00437
DB00059,SYN00438
DB00059,SYN00439
DB00060,SYN00440
DB00060,SYN00441
DB00060,SYN00442
DB00060,SYN00443
DB00060,SYN00444
DB00060,SYN00445
DB00060,SYN00446
DB00060,SYN00447
DB00060,SYN00448
DB00060,SYN00449
DB00060,SYN00450
DB00060,SYN00451
DB00060,SYN00452
DB00061,SYN00453
DB00061,SYN00454
DB00061,SYN00455
DB00061,SYN00456
DB00061,SYN00457
DB00062,SYN00458
DB00062,SYN00459
DB00062,SYN00460
DB00062,SYN00461
DB00062,SYN00462
DB00062,SYN00463
DB00062,SYN00464
DB00062,SYN00465
DB00063,SYN00466
DB00063,SYN00467
DB00063,SYN00468
DB00063,SYN00469
DB00065,SYN00470
DB00065,SYN00471
DB00065,SYN00472
DB00065,SYN00473
DB00065,SYN00474
DB00065,SYN00475
DB00065,SYN00476
DB00066,SYN00477
DB00066,SYN00478
DB00066,SYN00479
DB00066,SYN00480
DB00066,SYN00481
DB00066,SYN00482
DB00066,SYN00483
DB00066,SYN00484
DB00066,SYN00485
DB00066,SYN00486
DB00066,SYN00487
DB00066,SYN00488
DB00066,SYN00489
DB00066,SYN00490
DB00066,SYN00491
DB00066,SYN00492
DB00066,SYN00493
DB00066,SYN00494
DB00066,SYN00495
DB00066,SYN00496
DB00066,SYN00497
DB00066,SYN00498
DB00066,SYN00499
DB00067,SYN00500
DB00067,SYN00501
DB00067,SYN00502
DB00068,SYN00503
DB00068,SYN00504
DB00068,SYN00505
DB00068,SYN00506
DB00068,SYN00507
DB00069,SYN00508
DB00069,SYN00509
DB00069,SYN00510
DB00070,SYN00511
DB00070,SYN00512
